osmid,street_count,highway,ref,geometry,casino_osmid,casino_dist
1384279524,3,,,POINT (-77.0915933 -11.9565181),4366593002,0.012396763719616588
1404104166,4,,,POINT (-76.9377167 -12.2309921),481692453,0.0186166818352511
1404104167,4,,,POINT (-76.95740069999999 -12.1982376),481692453,0.025722339141679953
1241378279,4,,,POINT (-77.0411148 -11.9001815),4336173733,0.002933821562405167
1305701865,4,traffic_signals,,POINT (-77.08524559999999 -11.9550063),4366593002,0.011329441880780005
1241378281,3,,,POINT (-77.04058689999999 -11.8955772),4336173733,0.0032801253665060057
8923606507,3,,,POINT (-77.1131821 -11.829698),435198459,0.051527575936882404
1241378280,4,,,POINT (-77.04053469999999 -11.8937019),4336173733,0.004947345616590894
6495432173,4,,,POINT (-77.0100995 -12.0258839),437360405,0.019247505364206618
1404104174,4,,,POINT (-76.960932 -12.1924608),481692453,0.03198681479003094
1305701870,3,,,POINT (-77.0557711 -11.9341415),4337198303,0.009606461080957673
4288572910,4,,,POINT (-77.03254389999999 -11.8592701),4155811689,0.03239239576937877
1273982447,3,,,POINT (-76.9968179 -12.1703865),437511292,0.02913743062072925
1384279535,3,,,POINT (-77.0958408 -11.9566702),4366593002,0.015294579749052973
1404104179,4,,,POINT (-76.9498846 -12.210716),481692453,0.014026624526717678
1814195698,4,traffic_signals,,POINT (-77.0260514 -11.8777401),4336173733,0.024244110009647105
263384565,4,traffic_signals,,POINT (-77.0576073 -12.0900292),436318203,0.0007285679804836346
263384566,4,traffic_signals,,POINT (-77.0577279 -12.0899603),436318203,0.0006164722722632976
1758293496,4,,,POINT (-77.12728610000001 -11.8478145),435198459,0.05391467097072996
1758293497,3,,,POINT (-77.13443479999999 -11.8478239),435198459,0.060695044972729255
263384568,4,,,POINT (-77.0596798 -12.0886629),436318203,0.0019454066635294944
4332613116,3,,,POINT (-77.10175 -12.0487357),435879639,0.01848089016260674
1404104189,4,,,POINT (-76.94846870000001 -12.2130569),481692453,0.012516492303637135
1384279549,3,,,POINT (-77.09945159999999 -11.9568554),4366593002,0.018152044030903352
1273916926,4,,,POINT (-76.904999 -12.222394),481692453,0.03252254521345015
4288572928,3,,,POINT (-77.0318278 -11.862155),4155811689,0.035359346001020274
1384279553,4,,,POINT (-77.0961758 -11.9569298),4366593002,0.01539835038242636
1273523716,4,,,POINT (-76.9082686 -12.2237122),481692453,0.029897098492300506
6534557192,3,,,POINT (-76.81614519999999 -12.3402267),481692453,0.17516286976773032
1273622026,4,,,POINT (-76.9506018 -12.147737),437647280,0.01469892911600068
1381395979,4,,,POINT (-77.091432 -11.9532356),4366593002,0.015031715631290974
387411474,4,traffic_signals,,POINT (-77.0204698 -12.0974752),406255075,0.0014782402957554232
4442222098,3,,,POINT (-76.9451234 -12.1378162),437647280,0.02597102943052312
387411478,4,traffic_signals,,POINT (-77.0205375 -12.0973269),406255075,0.0013310673698107172
1403252246,3,,,POINT (-76.84071179999999 -12.1489181),481692453,0.11450226819108547
1758293529,3,,,POINT (-77.1350422 -11.8481835),435198459,0.06117030773814132
4442222105,3,,,POINT (-76.9436216 -12.1370642),437647280,0.02743799072470378
632155676,4,crossing,,POINT (-77.1594501 -12.0682114),435879639,0.062406656985109485
1381395997,4,,,POINT (-77.0967325 -11.9534718),4366593002,0.018097909123709337
1369042468,3,,,POINT (-77.0076286 -12.0426581),438861899,0.021541333214541464
