osmid,highway,street_count,geometry,NN,NN_dist
605673865,,4,POINT (-77.0734333 -12.0869756),605673864,0.0010969303760940098
605673950,,4,POINT (-77.0732361 -12.0959871),605673950,0.0
605674040,traffic_signals,4,POINT (-77.07286360000001 -12.0950099),605674040,0.0
605674059,,4,POINT (-77.0725092 -12.094033),605674059,0.0
605674066,,4,POINT (-77.07212560000001 -12.0930227),605674066,0.0
605674075,,4,POINT (-77.07175959999999 -12.0920018),605674075,0.0
605674138,,1,POINT (-77.0728426 -12.0853793),605673420,0.0011564249219019312
605674150,,4,POINT (-77.0759583 -12.0938813),605674150,0.0
605674156,,2,POINT (-77.0764987 -12.0954738),197680584,0.0006244176166662439
605674191,,3,POINT (-77.07551770000001 -12.0958224),197680585,0.0006321247740767528
605674198,traffic_signals,4,POINT (-77.07494370000001 -12.0942319),605674198,0.0
605674205,,4,POINT (-77.0745787 -12.0932471),605674205,0.0
605674212,,4,POINT (-77.07385050000001 -12.091249),605674212,0.0
605674242,,2,POINT (-77.07452600000001 -12.0961462),197680586,0.0005799631022781891
605674271,,4,POINT (-77.07353089999999 -12.0936279),605674271,0.0
605674277,,4,POINT (-77.07388419999999 -12.0946072),605674277,0.0
605674526,,4,POINT (-77.071501 -12.0943892),1281213770,7.383359668957535e-05
605674532,,4,POINT (-77.0702278 -12.0948478),263386000,0.00022696083362194308
605674788,,4,POINT (-77.0717969 -12.0953884),605674788,0.0
605674969,,4,POINT (-77.0718701 -12.0953601),605674969,0.0
605675014,traffic_signals,4,POINT (-77.0709312 -12.0957037),605675014,0.0
606182724,,3,POINT (-77.06478389999999 -12.0872753),263386686,0.0008220367388290249
606182751,,4,POINT (-77.0653537 -12.0870642),263386686,0.0014216238074792568
606182753,,4,POINT (-77.06563250000001 -12.0878307),263386686,0.0015448652497879378
606182806,,3,POINT (-77.06800939999999 -12.0911412),593898374,0.001025928150505153
606182808,,4,POINT (-77.0668878 -12.0881948),2026775450,0.0010378420881807411
606182810,,4,POINT (-77.0666298 -12.0874832),2026775450,0.0017947110408096827
606182811,,4,POINT (-77.0663507 -12.0867154),605673529,0.001466181114325611
606182822,traffic_signals,5,POINT (-77.0724208 -12.0969326),606182822,0.0
606182859,,4,POINT (-77.0631899 -12.1000821),3019219769,8.958761075363306e-05
606182860,,3,POINT (-77.0683813 -12.098396),606182861,0.00010533627105629515
606182861,,4,POINT (-77.0683476 -12.0982962),606182861,0.0
606182863,,3,POINT (-77.068573 -12.098329),606182861,0.00022777401081388918
606182865,,4,POINT (-77.0704123 -12.0976729),606182869,8.490848014040482e-05
606182866,traffic_signals,4,POINT (-77.06941759999999 -12.0980336),606182868,9.935839169318191e-05
606182868,traffic_signals,4,POINT (-77.0693821 -12.0979408),606182868,0.0
606182869,,4,POINT (-77.07038590000001 -12.0975922),606182869,0.0
