osmid,y,x,street_count,highway,geometry
3400714968,-13.5320631,-71.951422,3,,POINT (-71.95142199999999 -13.5320631)
30984920,-13.5171524,-71.9689551,3,,POINT (-71.9689551 -13.5171524)
31001319,-13.5246749,-71.9924939,3,,POINT (-71.9924939 -13.5246749)
31001323,-13.5239681,-71.9940223,3,,POINT (-71.9940223 -13.5239681)
3244051183,-13.5400647,-71.9185129,3,,POINT (-71.9185129 -13.5400647)
3244051184,-13.5401058,-71.9181751,3,,POINT (-71.9181751 -13.5401058)
1014221556,-13.524466,-71.9640802,3,,POINT (-71.9640802 -13.524466)
1014221558,-13.5230672,-71.9635109,3,,POINT (-71.9635109 -13.5230672)
31001339,-13.5264835,-71.994724,3,,POINT (-71.99472400000001 -13.5264835)
31001341,-13.5260303,-71.9946139,3,,POINT (-71.9946139 -13.5260303)
31001352,-13.5270147,-71.9959154,4,,POINT (-71.9959154 -13.5270147)
3707267853,-13.5397442,-71.9621664,3,,POINT (-71.9621664 -13.5397442)
3707267857,-13.5401858,-71.9623859,3,,POINT (-71.9623859 -13.5401858)
31001362,-13.527829,-71.9964854,3,,POINT (-71.9964854 -13.527829)
