osmid,street_count,highway,ref,geometry,courthouse_osmid,courthouse_dist
4375985919,3,,,POINT (-76.6960649 -11.9382865),487183431,0.08382622933430312
4375985918,4,,,POINT (-76.6968985 -11.9376362),487183431,0.083380944119481
306757376,4,traffic_signals,,POINT (-77.1252834 -12.0527103),465071802,0.058040083842904044
5278678787,3,,,POINT (-77.06459030000001 -11.9903567),301604752,0.005324437108027828
419872516,3,,,POINT (-76.97098149999999 -12.1055686),4818433021,0.030350509982042567
1316929283,3,,,POINT (-77.0444238 -11.9312495),679438717,0.05554288167330836
863518469,4,,,POINT (-77.0758062 -11.8701888),679438717,0.05596250611808882
419872520,3,,,POINT (-76.9712206 -12.1061649),4818433021,0.030893808281434468
1870265506,4,,,POINT (-77.0547888 -12.0033201),808969919,0.005488053581883444
4406230801,3,,,POINT (-77.080358 -12.0755279),4469386913,0.046151873829350036
1273741074,3,,,POINT (-76.95337960000001 -12.165105),408686631,0.005979454097377171
1295957778,4,,,POINT (-77.0558996 -11.9660181),301604752,0.023086261533198864
821455042,4,,,POINT (-77.0012572 -12.0225938),5519669522,0.01890511697636162
2887270166,4,,,POINT (-77.0102539 -12.0607191),4502742822,0.021364218618999915
2887270168,3,,,POINT (-77.0070063 -12.0604383),4502742822,0.024383907114329056
2887270170,3,,,POINT (-77.01204799999999 -12.0609391),4502742822,0.019752027828313503
2887270171,3,,,POINT (-76.990934 -12.0397815),437855139,0.012864109365435337
1295958479,4,,,POINT (-77.05948290000001 -11.9613184),301604752,0.027504831572239683
674938657,4,,,POINT (-77.06419990000001 -12.0721637),4469386913,0.030955179268908287
5581455138,4,,,POINT (-76.9851338 -12.1482041),408686631,0.03281912842392634
419872552,4,,,POINT (-76.96802169999999 -12.1070554),4818433021,0.03246913933152707
391036716,4,traffic_signals,,POINT (-76.9903303 -12.1028605),4818433021,0.0303759092341264
391036721,4,,,POINT (-76.99216970000001 -12.1014432),437675773,0.028602699281803194
1872641850,4,,,POINT (-76.9933192 -12.1646661),408686631,0.039496209975534484
391036734,4,traffic_signals,,POINT (-76.9945542 -12.1005602),437675773,0.026266419497253855
7285587779,3,,,POINT (-76.9552857 -12.0543603),439195372,0.013741005951886643
842874695,4,,,POINT (-77.0632236 -11.9972841),808969919,0.00592308257258632
842874696,3,,,POINT (-77.062951 -11.9976755),808969919,0.005585015267270883
4379492167,4,,,POINT (-76.8387532 -11.9999784),487183431,0.0719513850885076
4379492168,3,,,POINT (-76.8380849 -12.0007033),487183431,0.07156741701758311
4379492169,4,,,POINT (-76.8376896 -12.0011389),487183431,0.07134813498531402
417251165,4,,,POINT (-77.0012966 -12.1032022),437675773,0.019476898238817437
391036770,4,,,POINT (-77.0016026 -12.101101),437675773,0.019197524787467845
863518562,3,,,POINT (-77.0867806 -11.8718798),679438717,0.06651439044158912
4357996389,3,,,POINT (-77.0067926 -12.0803884),437675773,0.0260607771799943
4357996391,3,,,POINT (-77.0075939 -12.0801623),437675773,0.02583464078645496
4352786282,3,,,POINT (-76.9279401 -12.2063984),5145408791,0.02494478327526108
7060766581,3,,,POINT (-76.77195829999999 -12.3858944),5364271522,0.17501308832327567
697286519,3,,,POINT (-77.078057 -12.0513463),465071802,0.02298528405494909
1295957884,3,,,POINT (-77.0589253 -11.9801488),301604752,0.008692887016989346
4031954815,3,motorway_junction,4B,POINT (-76.9796812 -12.099184),4818433021,0.023632848253648246
1330495364,4,,,POINT (-77.0579078 -11.9828844),301604752,0.006146357036378279
1273839493,4,,,POINT (-77.1288952 -11.8265168),679438717,0.12094576125817334
4093755271,4,,,POINT (-77.05716889999999 -11.9877793),301604752,0.0025463908625075944
417251208,4,,,POINT (-77.00100260000001 -12.1052135),437675773,0.01995449681062198
4093755272,4,,,POINT (-77.05725219999999 -11.987798),301604752,0.0024628057985351865
4354621323,3,,,POINT (-77.00393339999999 -12.1285611),437675773,0.031109973495417796
391036814,4,,,POINT (-77.0016519 -12.1007774),437675773,0.019172877016384832
1273577358,3,,,POINT (-76.9830595 -12.0452396),437855139,0.005744719623537289
108183448,3,,,POINT (-77.0298875 -12.1314114),5527853721,0.026147608273031035
1796882332,3,,,POINT (-76.9768218 -12.152741),408686631,0.023515872818020898
108183453,4,,,POINT (-77.02983620000001 -12.1308035),5527853721,0.025730068081133817
108183454,3,,,POINT (-77.0297892 -12.1301537),5527853721,0.025286999555108294
1273708447,3,,,POINT (-76.9295839 -12.225121),458599264,0.0219251007615279
108183455,4,traffic_signals,,POINT (-77.0297564 -12.1298024),5527853721,0.02505640536809085
1796882337,3,,,POINT (-76.97793470000001 -12.154228),408686631,0.024241026528519297
108183457,4,,,POINT (-77.0295649 -12.1277816),5527853721,0.02379033391779244
108183458,5,traffic_signals,,POINT (-77.02952809999999 -12.126872),5527853721,0.02321816001840364
108183459,4,,,POINT (-77.029461 -12.1259848),5527853721,0.022705769146408674
108183461,3,,,POINT (-77.02943380000001 -12.1254635),5527853721,0.022406008000081374
108183456,4,,,POINT (-77.02965500000001 -12.1286964),5527853721,0.024348212247509705
6277873575,3,,,POINT (-77.0677433 -11.9564938),301604752,0.03336592292010483
1273741234,4,,,POINT (-76.95248549999999 -12.0411593),439195372,0.00764992178063221
5435998131,3,,,POINT (-77.0850652 -11.9961431),301604752,0.026600682851344072
5435998130,3,,,POINT (-77.0846222 -11.9958231),301604752,0.026087390302739426
430555065,3,,,POINT (-76.9419336 -12.0877459),3949420739,0.02636283882380868
391036861,4,,,POINT (-77.0018493 -12.1008068),437675773,0.018973706430880453
4297375682,3,,,POINT (-77.17039490000001 -11.7743737),679438717,0.18360099787896572
1946304454,3,,,POINT (-77.0052663 -12.0056586),5519669522,0.008105749379291231
1273741260,4,,,POINT (-76.97220919999999 -12.0386539),437855139,0.00695646129552752
499564495,3,,,POINT (-77.0152518 -11.9849044),437868020,0.021841816400786754
1482473433,4,,,POINT (-76.999093 -12.0700655),4818433021,0.023168939886193445
499564506,4,,,POINT (-77.0131186 -11.9822535),437868020,0.0184711181056825
430555101,3,,,POINT (-76.94174049999999 -12.0870955),3949420739,0.026185986275111213
31080415,5,traffic_signals,,POINT (-77.05953839999999 -11.9764469),301604752,0.012376419227629111
1273675744,4,,,POINT (-76.9393432 -12.1416313),408686631,0.02299877831156817
1273708513,3,,,POINT (-77.1328803 -12.0246246),465071802,0.060784652891986084
1482473443,3,,,POINT (-76.9983836 -12.0712828),4818433021,0.02220542086292927
3308634084,4,,,POINT (-76.8249261 -12.0134242),487183431,0.06568517262525768
31080421,4,,,POINT (-77.0625289 -11.9616677),301604752,0.027324875545149473
3308634085,4,,,POINT (-76.8230173 -12.0107795),487183431,0.06262095308241819
2542288871,4,,,POINT (-77.0985103 -12.0167714),465071802,0.02900204847852073
3308634086,4,,,POINT (-76.8222445 -12.0097088),487183431,0.06138617296810445
31080420,4,,,POINT (-77.0617846 -11.964704),301604752,0.02422799470871404
3063594984,4,,,POINT (-77.03454410000001 -12.0846189),4469386913,0.003624623672879924
3308634095,3,,,POINT (-76.81873229999999 -12.0153164),487183431,0.06187344366005811
5437636592,3,,,POINT (-76.9679623 -12.1339334),408686631,0.028753878061932647
499564529,3,,,POINT (-77.00254080000001 -11.965986),437868020,0.004815711337062939
1295958001,3,,,POINT (-77.0556977 -11.9792359),301604752,0.010310653077275878
499564533,3,,,POINT (-77.00169409999999 -11.9643488),437868020,0.005813046127343814
1273970676,4,,,POINT (-77.1616417 -11.7807193),679438717,0.1727900238719144
499564538,4,,,POINT (-77.00021 -11.9620443),437868020,0.007729295193439968
1273675776,4,,,POINT (-76.95759099999999 -12.1895365),6695199631,0.01231102724917581
5194989572,3,,,POINT (-77.0558712 -11.830149),679438717,0.06167434892494829
1273675780,4,,,POINT (-76.6931628 -11.9330267),487183431,0.08885296220533558
2542288902,3,,,POINT (-77.1074019 -12.0194742),465071802,0.03643650154138191
1296187410,4,,,POINT (-77.06735020000001 -11.9660327),301604752,0.02410742536219815
1296187411,3,,,POINT (-77.0671151 -11.9703079),301604752,0.020023417253270486
1273905173,3,,,POINT (-76.99510429999999 -12.1375792),437675773,0.04354497113130055
1273708576,3,,,POINT (-76.9812694 -12.2032786),6695199631,0.02906138213162449
4261560356,3,,,POINT (-77.0788266 -12.0316067),465071802,0.007026578334633849
1295958054,3,,,POINT (-77.0594309 -11.9778728),301604752,0.010950597733716759
3951181867,3,,,POINT (-77.06919929999999 -11.8739857),679438717,0.04881108351525858
4367138860,4,,,POINT (-76.94593879999999 -12.198093),5145408791,0.006854523207344664
