osmid,ref,highway,street_count,geometry,NN,NN_dist
1382690523,,,4,POINT (-77.0821129 -11.9272056),1382690523,0.0
1382690525,,,3,POINT (-77.0817667 -11.9273129),1382690523,0.00036244686506705477
1382690526,,,3,POINT (-77.0782586 -11.9272908),1382690505,0.0008508424060825057
1382690528,,,3,POINT (-77.0808832 -11.9273472),1382690591,0.0010016957671882985
1382690535,,,3,POINT (-77.0776056 -11.9275753),1382690505,0.0007456345284385917
1382690536,,,4,POINT (-77.078546 -11.9276585),1382690505,0.0013003302849633957
1382690546,,,4,POINT (-77.0803674 -11.9277405),1382690591,0.0006297825021388098
1382690548,,,3,POINT (-77.08129219999999 -11.9278148),1382690591,0.0008337800009541186
1382690551,,,4,POINT (-77.0802734 -11.9278092),1382690591,0.0006161964378372063
1382690570,,,3,POINT (-77.0788392 -11.9280335),1382690607,0.001294438086579984
1382690585,,,4,POINT (-77.0805738 -11.9282005),1382690591,0.00012559904458377894
1382690589,,,4,POINT (-77.0804816 -11.9282688),1382690595,0.00012580449117670982
1382690591,,,3,POINT (-77.0806252 -11.9283151),1382690591,0.0
1382690595,,,3,POINT (-77.0805335 -11.9283834),1382690595,0.0
1382690598,,,3,POINT (-77.0792596 -11.9285712),1382690607,0.0006147675088984071
1382690603,,,3,POINT (-77.07886019999999 -11.9288724),1382690624,0.0006780662504493269
1382690607,,,4,POINT (-77.0795706 -11.9291015),1382690607,0.0
1382690608,,,3,POINT (-77.078439 -11.9291899),1382690628,0.00048393331151640363
1382690614,,,3,POINT (-77.07923630000001 -11.9293509),1382690607,0.0004170813469745694
1382690624,,,4,POINT (-77.07877120000001 -11.9295446),1382690624,0.0
1382690628,,,3,POINT (-77.0787022 -11.929596),1382690628,0.0
1382690630,,,4,POINT (-77.07887530000001 -11.9296201),1382690630,0.0
1382690638,,,3,POINT (-77.078819 -11.9296837),1382690630,8.493909583559005e-05
1382724564,,,3,POINT (-77.07858090000001 -11.9159264),1382690327,0.0025507396574410254
1382724585,,,3,POINT (-77.07591360000001 -11.9163521),1382690310,0.00013294239354777698
1382724623,,,3,POINT (-77.0829998 -11.9168344),5064970447,0.0036924630749677317
1382724652,,,3,POINT (-77.0768805 -11.9177172),1382690327,0.000559627447508345
1382724654,,,3,POINT (-77.0832999 -11.9177856),5064970447,0.002736950048868988
1382724698,,,3,POINT (-77.08368710000001 -11.9201321),5064970447,0.0006172290498748577
1382724699,,,4,POINT (-77.08451770000001 -11.9202854),1382724699,0.0
1382724703,,,3,POINT (-77.0845379 -11.9209002),1382724703,0.0
1382724704,,,3,POINT (-77.082684 -11.92091),1382724704,0.0
1382724715,,,4,POINT (-77.083009 -11.9212506),1382724704,0.00047077952377226715
1382724719,,,3,POINT (-77.08263150000001 -11.9215269),1382724704,0.0006191299217453249
1382724721,,,3,POINT (-77.08294619999999 -11.9218607),1382724704,0.000986194367251382
1382724740,,,3,POINT (-77.0847708 -11.9222082),1382724740,0.0
1382724749,,,4,POINT (-77.0817066 -11.9222649),1382724749,0.0
1382724753,,,3,POINT (-77.0823992 -11.9223382),1382724763,0.0004472849315604109
1382724761,,,3,POINT (-77.0836525 -11.92261),1382724809,0.001153258904151484
1382724763,,,4,POINT (-77.0820622 -11.9226323),1382724763,0.0
1382724767,,,4,POINT (-77.08432519999999 -11.9226302),1382724740,0.0006137127666961086
1382724770,,,3,POINT (-77.0848412 -11.9228422),1382724740,0.0006378966687477941
1382724781,,,3,POINT (-77.0816811 -11.9229648),1382724763,0.000505760279183055
1382724782,,,3,POINT (-77.08397960000001 -11.922957),1382724740,0.0010893570948004394
1382724784,,,3,POINT (-77.0846744 -11.9229962),1382724740,0.0007938746500555145
1382724787,,,3,POINT (-77.0831429 -11.9230895),1382724809,0.0004535358089520919
1382724789,,,3,POINT (-77.0807932 -11.9231168),931752096,0.0006562892807315728
1382724797,,,3,POINT (-77.0845042 -11.9231534),1382724740,0.0009820787137507715
1382724802,,,3,POINT (-77.0853676 -11.9233693),1383621515,0.0005238106623625216
1382724809,,,4,POINT (-77.0828126 -11.9234003),1382724809,0.0
1382724812,,,3,POINT (-77.08415050000001 -11.92348),1382724842,0.0009031977911912349
1382724814,,,3,POINT (-77.0810465 -11.9235186),931752096,0.0010410542973343373
1382724822,,,3,POINT (-77.08500669999999 -11.9237043),1383621515,0.0008691419446874189
1382724825,,,3,POINT (-77.0824423 -11.9237486),1382724809,0.0005083650066628508
1382724827,,,4,POINT (-77.08314799999999 -11.9237447),1382724827,0.0
1382724830,,,3,POINT (-77.0838054 -11.9237987),1382724842,0.0004334492473206564
1382724839,,,3,POINT (-77.0846712 -11.9240157),1382724863,0.0009023252739478666
1382724842,,,4,POINT (-77.0834869 -11.9240927),1382724842,0.0
1382724847,,,3,POINT (-77.08432120000001 -11.9243407),1382724863,0.00042470095361787875
1382724848,,,3,POINT (-77.081706 -11.9244414),1382724809,0.0015193593287950267
1382724851,,,3,POINT (-77.08311500000001 -11.9244361),1382724842,0.0005061947945139618
1382724853,,,3,POINT (-77.0850841 -11.9244673),1382724878,0.0009459315514420807
1382724863,,,3,POINT (-77.0840099 -11.9246296),1382724863,0.0
1382724864,,,3,POINT (-77.08275209999999 -11.9247712),1382724842,0.0010001466342526057
1382724867,,,4,POINT (-77.0854217 -11.9247907),1382724878,0.0012080981830980737
1382724878,,,3,POINT (-77.0842146 -11.9248398),1382724878,0.0
1382724879,,,4,POINT (-77.08191170000001 -11.9249142),1382724978,0.0012933762406939925
1382724899,,,3,POINT (-77.0839117 -11.925279),1382724906,0.00035970101473276875
1382724906,,,4,POINT (-77.0842698 -11.9253129),1382724906,0.0
1382724910,,,3,POINT (-77.0833095 -11.9253305),1382724906,0.0009604612693935931
1382724912,,,3,POINT (-77.08211439999999 -11.92536),1382724978,0.0008036629206347595
1382724922,,,3,POINT (-77.0822096 -11.9255812),1382724978,0.0005629679298147817
1382724941,,,4,POINT (-77.0842138 -11.9257913),1382724941,0.0
1382724959,,,4,POINT (-77.08420340000001 -11.9258804),1382724959,0.0
1382724971,,,4,POINT (-77.08241200000001 -11.9260165),1382724978,8.304914207608161e-05
1382724978,,,4,POINT (-77.0824516 -11.9260895),1382724978,0.0
1382724980,,,3,POINT (-77.081971 -11.9263153),1382724978,0.0005310009416218653
1382724984,,,4,POINT (-77.0841473 -11.9263596),1382724984,0.0
1382724988,,,3,POINT (-77.08269180000001 -11.9265559),1382724978,0.00052461890930854
1382724994,,,4,POINT (-77.0841037 -11.9268568),1382724994,0.0
1382724995,,,3,POINT (-77.0828794 -11.9270033),5064701346,0.0006465337732818957
1382725016,,,3,POINT (-77.08174990000001 -11.9280533),1382690523,0.0009221519885540465
1382725023,,,3,POINT (-77.08142789999999 -11.9287678),1382690591,0.000921555521924368
1382725025,,,3,POINT (-77.0805653 -11.9298283),1382690607,0.0012319360088959615
1382725026,,,3,POINT (-77.08005 -11.9304618),1382690607,0.0014423038688165034
1382725042,,,3,POINT (-77.0814802 -11.9315959),1382725054,0.002054222096072168
1382725054,,,4,POINT (-77.0822391 -11.9335048),1382725054,0.0
1382725063,,,3,POINT (-77.082759 -11.9346304),1382725063,0.0
1382725066,,,4,POINT (-77.0831814 -11.935482),1383622129,9.428488744050916e-05
1382748874,,,3,POINT (-77.0817663 -11.9291075),1382690591,0.0013892469074990134
1382748880,,,3,POINT (-77.08441379999999 -11.9296432),1383621669,0.0015996485864082696
